id;start_date;end_date;language
1;2020-01-21T04:38:37;2020-01-21T02:28:52;SPANISH
2;2020-01-20T09:28:48;2020-01-21T04:33:13;SPANISH
3;2020-01-21T00:24:07;2020-01-20T10:58:16;FRENCH
4;2020-01-20T15:41:38;2020-01-21T03:13:04;FRENCH
5;2020-01-21T01:11:56;2020-01-21T05:58:55;FRENCH
6;2020-01-20T19:04:17;2020-01-21T07:12:31;FRENCH
7;2020-01-20T20:49:37;2020-01-20T14:40:28;FRENCH
8;2020-01-20T19:45:50;2020-01-21T06:01:58;SPANISH
9;2020-01-20T18:26:59;2020-01-20T15:08:22;SPANISH
10;2020-01-21T02:39:03;2020-01-20T13:13:33;SPANISH
